375,0.001560,1638.6,1716.6,3.7642
400,0.001731,1787.8,1874.4,4.0029
425,0.002009,1960.3,2060.7,4.2746
450,0.002487,2160.3,2284.7,4.5896
500,0.003890,2528.1,2722.6,5.1762
550,0.005118,2769.5,3025.4,5.5563
600,0.006108,2947.1,3252.6,5.8245
650,0.006957,3095.6,3443.5,6.0373
700,0.007717,3228.7,3614.6,6.2179
800,0.009073,3472.2,3925.8,6.5225
900,0.010296,3702,4216.8,6.7819
1000,0.011441,3927.4,4499.4,7.0131
1100,0.012534,4152.2,4778.9,7.2244
1200,0.013590,4378.6,5058.1,7.4207
1300,0.014620,4607.5,5338.5,7.6048
