375,0.001792,1738.1,1791.9,3.9313
400,0.002798,2068.9,2152.8,4.4758
425,0.005299,2452.9,2611.8,5.1473
450,0.006737,2618.9,2821,5.4422
500,0.008691,2824,3084.8,5.7956
550,0.010175,2974.5,3279.7,6.0403
600,0.011445,3103.4,3446.8,6.2373
650,0.012590,3221.7,3599.4,6.4074
700,0.013654,3334.3,3743.9,6.5599
800,0.015628,3551.2,4020,6.8301
900,0.017473,3764.6,4288.8,7.0695
1000,0.019240,3978.6,4555.8,7.288
1100,0.020954,4195.2,4823.9,7.4906
1200,0.022630,4415.3,5094.2,7.6807
1300,0.024279,4639.2,5367.6,7.8602
