0,0.0009904,0.23,20.03,0.0005
20,0.0009929,82.71,102.57,0.2921
40,0.0009992,165.17,185.16,0.5646
60,0.0010084,247.75,267.92,0.8208
80,0.0010199,330.5,350.9,1.0627
100,0.0010337,413.5,434.17,1.292
120,0.0010496,496.85,517.84,1.5105
140,0.0010679,580.71,602.07,1.7194
160,0.0010886,665.28,687.05,1.9203
180,0.0011122,750.78,773.02,2.1143
200,0.0011390,837.49,860.27,2.3027
220,0.0011697,925.77,949.16,2.4867
240,0.0012053,1016.1,1040.2,2.6676
260,0.0012472,1109,1134,2.8469
280,0.0012978,1205.6,1231.5,3.0265
300,0.0013611,1307.2,1334.4,3.2091
320,0.0014450,1416.6,1445.5,3.3996
340,0.0015693,1540.2,1571.6,3.6086
360,0.0018248,1703.6,1740.1,3.8787
