0,0.0009928,0.18,15.07,0.0004
20,0.0009951,83.01,97.93,0.2932
40,0.0010013,165.75,180.77,0.5666
60,0.0010105,248.58,263.74,0.8234
80,0.0010221,331.59,346.92,1.0659
100,0.0010361,414.85,430.39,1.2958
120,0.0010522,498.5,514.28,1.5148
140,0.0010708,582.69,598.75,1.7243
160,0.0010920,667.63,684.01,1.9259
180,0.0011160,753.58,770.32,2.1206
200,0.0011435,840.84,858,2.31
220,0.0011752,929.81,947.43,2.4951
240,0.0012121,1021,1039.2,2.6774
260,0.0012560,1115.1,1134,2.8586
280,0.0013096,1213.4,1233,3.041
300,0.0013783,1317.6,1338.3,3.2279
320,0.0014733,1431.9,1454,3.4263
340,0.0016311,1567.9,1592.4,3.6555
