0.01;0.61169;0.001091;205.99;-333.40;2707.9;2374.5;-333.40;2833.9;2500.5;-1.2202;10.374;9.154
0;0.61115;0.001091;206.17;-333.43;2707.9;2374.5;-333.43;2833.9;2500.5;-1.2204;10.375;9.154
-2;0.51772;0.001091;241.62;-337.63;2709.4;2371.8;-337.63;2834.5;2496.8;-1.2358;10.453;9.218
-4;0.43748;0.001090;283.84;-341.80;2710.8;2369.0;-341.80;2835.0;2493.2;-1.2513;10.533;9.282
-6;0.36873;0.001090;334.27;-345.94;2712.2;2366.2;-345.93;2835.4;2489.5;-1.2667;10.613;9.347
-8;0.30998;0.001090;394.66;-350.04;2713.5;2363.5;-350.04;2835.8;2485.8;-1.2821;10.695;9.413
-10;0.25990;0.001089;467.17;-354.12;2714.8;2360.7;-354.12;2836.2;2482.1;-1.2976;10.778;9.480
-12;0.21732;0.001089;554.47;-358.17;2716.1;2357.9;-358.17;2836.6;2478.4;-1.3130;10.862;9.549
-14;0.18121;0.001088;659.88;-362.18;2717.3;2355.2;-362.18;2836.9;2474.7;-1.3284;10.947;9.618
-16;0.15068;0.001088;787.51;-366.17;2718.6;2352.4;-366.17;2837.2;2471.0;-1.3439;11.033;9.689
-18;0.12492;0.001088;942.51;-370.13;2719.7;2349.6;-370.13;2837.5;2467.3;-1.3593;11.121;9.761
-20;0.10326;0.001087;1131.3;-374.06;2720.9;2346.8;-374.06;2837.7;2463.6;-1.3748;11.209;9.835
-22;0.08510;0.001087;1362.0;-377.95;2722.0;2344.1;-377.95;2837.9;2459.9;-1.3903;11.300;9.909
-24;0.06991;0.001087;1644.7;-381.82;2723.1;2341.3;-381.82;2838.1;2456.2;-1.4057;11.391;9.985
-26;0.05725;0.001087;1992.2;-385.66;2724.2;2338.5;-385.66;2838.2;2452.5;-1.4212;11.484;10.063
-28;0.04673;0.001086;2421.0;-389.47;2725.2;2335.7;-389.47;2838.3;2448.8;-1.4367;11.578;10.141
-30;0.03802;0.001086;2951.7;-393.25;2726.2;2332.9;-393.25;2838.4;2445.1;-1.4521;11.673;10.221
-32;0.03082;0.001086;3610.9;-397.00;2727.2;2330.2;-397.00;2838.4;2441.4;-1.4676;11.770;10.303
-34;0.02490;0.001085;4432.4;-400.72;2728.1;2327.4;-400.72;2838.5;2437.7;-1.4831;11.869;10.386
-36;0.02004;0.001085;5460.1;-404.40;2729.0;2324.6;-404.40;2838.4;2434.0;-1.4986;11.969;10.470
-38;0.01608;0.001085;6750.5;-408.07;2729.9;2321.8;-408.07;2838.4;2430.3;-1.5141;12.071;10.557
-40;0.01285;0.001084;8376.7;-411.70;2730.7;2319.0;-411.70;2838.3;2426.6;-1.5296;12.174;10.644
