50,14.867,2443.3,2592,8.1741
100,17.196,2515.5,2687.5,8.4489
150,19.513,2587.9,2783,8.6893
200,21.826,2661.4,2879.6,8.9049
250,24.136,2736.1,2977.5,9.1015
300,26.446,2812.3,3076.7,9.2827
400,31.063,2969.3,3280,9.6094
500,35.68,3132.9,3489.7,9.8998
600,40.296,3303.3,3706.3,10.1631
700,44.911,3480.8,3929.9,10.4056
800,49.527,3665.4,4160.6,10.6312
900,54.143,3856.9,4398.3,10.8429
1000,58.758,4055.3,4642.8,11.0429
1100,63.373,4260,4893.8,11.2326
1200,67.989,4470.9,5150.8,11.4132
1300,72.604,4687.4,5413.4,11.5857
